author;first_commit;2014-01-01;2014-02-01;2014-03-01;2014-04-01;2014-05-01;2014-06-01;2014-07-01;2014-08-01;2014-09-01;2014-10-01;2014-11-01;2014-12-01;2015-01-01;2015-02-01;2015-03-01;2015-04-01;2015-05-01;2015-06-01;2015-07-01;2015-08-01;2015-09-01;2015-10-01;2015-11-01;2015-12-01;2016-01-01;2016-02-01;2016-03-01;2016-04-01;2016-05-01;2016-06-01;2016-07-01;2016-08-01;2016-09-01;2016-10-01;2016-11-01;2016-12-01;2017-01-01;2017-02-01;2017-03-01;2017-04-01;2017-05-01;2017-06-01;2017-07-01;2017-08-01;2017-09-01;2017-10-01;2017-11-01;2017-12-01;2018-01-01;2018-02-01;2018-03-01;2018-04-01;2018-05-01;2018-06-01;2018-07-01;2018-08-01;2018-09-01;2018-10-01;2018-11-01
Julia.Mochenkova;2017-05-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0
Kirill Bulatov;2017-08-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kirill Kirichenko;2017-02-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;11;11;15;14;6;13;22;25;15;11;19;30;25;28;39;22;1;14;41;35;0
Kirill Likhodedov;2014-01-01;30;12;186;23;160;44;91;60;98;92;58;78;34;13;14;50;78;19;37;35;73;17;55;36;18;27;48;9;60;7;26;38;32;57;5;22;10;62;42;35;31;23;33;50;13;33;89;18;10;0;20;6;24;63;33;41;36;7;0
Kirill Smelov;2018-05-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;2;0;0
Kirill Timofeev;2017-12-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;3;0;0;2;4;0;1;0
Kirill.Likhodedov;2014-04-01;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kirill.Skrygan;2018-04-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;2;0;1;0;0;0
Kiryl Chetyrbak;2017-03-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Klaus Bayrhammer;2015-02-01;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Konstantin Aleev;2016-12-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7;4;6;1;15;6;16;11;20;20;12;3;0;9;6;5;9;5;8;4;2;1;0
Konstantin Bulenkov;2014-01-01;22;64;84;48;99;47;117;113;97;109;84;73;102;74;55;55;56;109;74;66;98;94;14;33;23;35;45;42;76;35;35;27;31;211;11;17;40;29;15;16;62;50;55;25;39;15;77;38;37;16;25;47;41;20;36;24;44;24;0
Konstantin Kolosovsky;2014-01-01;1;51;37;83;39;37;45;64;42;29;21;30;32;3;11;17;2;5;3;1;7;4;18;2;0;1;63;22;26;1;15;36;21;38;74;2;11;29;29;32;16;28;11;25;43;1;3;111;24;30;9;68;24;29;98;51;16;19;0
Konstantin Ulitin;2014-01-01;1;2;0;2;0;0;1;1;9;0;2;4;2;0;0;1;1;1;11;2;2;1;2;11;4;5;2;1;4;3;4;5;0;4;7;4;1;1;3;1;1;10;7;12;4;4;7;3;3;2;5;6;8;3;4;4;7;1;0
Konstantin.Ulitin;2014-02-01;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lada Gagina;2016-07-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Lari Hotari;2016-10-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Leonid Bushuev;2015-09-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;0;0;0;1;0;1;3;1;2;3;0;0
Leonid Shalupov;2017-01-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;0;0;1;0;1;4;0;1;1;0;0;0;0;1;4;0;1;0;1;15;0
Liana;2014-01-01;6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
