proj;first_commit;2014-01-01;2014-02-01;2014-03-01;2014-04-01;2014-05-01;2014-06-01;2014-07-01;2014-08-01;2014-09-01;2014-10-01;2014-11-01;2014-12-01;2015-01-01;2015-02-01;2015-03-01;2015-04-01;2015-05-01;2015-06-01;2015-07-01;2015-08-01;2015-09-01;2015-10-01;2015-11-01;2015-12-01;2016-01-01;2016-02-01;2016-03-01;2016-04-01;2016-05-01;2016-06-01;2016-07-01;2016-08-01;2016-09-01;2016-10-01;2016-11-01;2016-12-01;2017-01-01;2017-02-01;2017-03-01;2017-04-01;2017-05-01;2017-06-01;2017-07-01;2017-08-01;2017-09-01;2017-10-01;2017-11-01;2017-12-01;2018-01-01;2018-02-01;2018-03-01;2018-04-01;2018-05-01;2018-06-01;2018-07-01;2018-08-01;2018-09-01;2018-10-01;2018-11-01
rider;2016-09-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;4;6;4;1;0;0;0;4;1;1;3;3;0;0;0;2;3;0;1;0;0;1;0
ruby;2014-03-01;0;0;1;2;0;1;2;0;2;1;0;2;0;6;4;2;1;5;2;3;2;3;4;1;0;4;0;0;0;4;6;2;5;0;1;3;2;3;2;0;14;5;3;3;0;1;2;1;2;2;2;88;9;18;23;5;19;7;0
scopeview;2018-01-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;6;13;6;0;6;0;0;0;0;0
shelf;2015-07-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7;3;0;0;2;1;4;0;0;0;1;6;0;6;1;0;1;1;6;3;0;14;2;1;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0
shelve;2015-09-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;17;1;0;2;1;1;0;0;2;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ssr;2014-07-01;0;0;0;0;0;0;15;10;1;2;1;29;27;28;13;15;13;7;0;4;6;5;13;1;0;0;13;5;1;2;0;0;6;10;10;0;0;0;0;13;32;27;4;5;7;27;30;2;6;16;22;30;27;27;11;14;15;18;0
svn;2014-02-01;0;45;21;77;38;35;39;46;38;14;13;18;31;3;8;4;1;1;1;0;4;2;5;0;0;0;6;2;0;0;0;3;2;35;47;0;6;21;3;0;0;0;0;1;0;0;0;2;0;0;7;65;17;4;80;42;1;0;0
testng;2014-01-01;1;0;2;1;0;1;0;6;1;0;0;0;0;1;0;11;25;12;6;4;3;1;2;2;1;1;1;0;2;0;0;1;5;2;0;0;2;0;2;6;1;3;0;0;0;2;0;0;0;0;0;1;1;3;3;0;0;0;0
tests;2014-04-01;0;0;0;2;2;0;1;2;0;4;0;3;2;2;0;2;1;5;6;1;5;8;6;3;0;13;8;2;6;1;0;6;15;7;7;11;4;7;13;15;12;6;10;9;12;8;13;21;5;13;7;3;7;2;2;4;10;11;0
uast;2017-05-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;4;0;4;6;7;15;10;0;2;2;1;2;1;6;1;0
ui;2014-03-01;0;0;5;0;0;0;1;3;2;8;5;0;0;0;1;2;0;5;9;1;1;10;11;10;5;8;13;4;8;2;2;2;8;16;19;20;11;17;7;8;11;6;9;16;2;10;10;4;6;11;15;27;25;8;5;7;14;11;0
updater;2014-02-01;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;5;1;0;1;14;0;7;8;0;0;0;0;4;2;0;0;0;0;0;3;0;0;1;2;0;2;0
util;2014-04-01;0;0;0;1;0;0;0;0;0;1;0;0;2;1;0;1;0;2;0;3;1;3;3;0;2;1;0;1;0;0;0;2;1;5;0;1;3;6;11;0;2;1;0;0;0;2;2;0;0;0;1;1;3;1;1;10;0;0;0
ux;2017-10-01;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;17;134;17;0;1;0;11;0
vcs;2014-01-01;4;2;4;4;7;6;16;10;9;24;19;8;17;4;8;21;34;8;14;27;16;14;10;34;35;21;70;23;36;14;15;42;25;21;99;52;25;13;44;14;109;20;9;10;31;57;6;31;35;29;22;25;56;78;59;25;57;60;0
vcs-log;2014-01-01;1;0;0;0;0;0;0;0;0;15;12;59;12;136;23;12;6;17;9;16;6;1;30;6;81;150;57;23;91;23;12;37;97;71;29;74;44;36;40;4;1;23;52;48;16;23;21;24;25;37;29;17;34;19;50;24;35;44;0
vfs;2014-03-01;0;0;2;5;4;0;2;0;0;0;0;3;0;0;1;1;0;0;4;4;0;1;2;5;3;7;3;3;4;0;0;0;0;1;4;2;1;3;1;0;0;1;1;5;2;5;1;0;0;1;0;1;0;1;0;0;0;0;0
web;2014-01-01;8;17;9;23;5;7;17;7;4;13;6;6;3;12;3;7;2;4;8;4;7;8;5;9;8;21;9;5;7;7;6;5;4;3;12;2;4;14;17;3;7;4;3;4;3;7;2;0;53;4;12;31;17;19;17;23;33;31;0
wi;2014-01-01;1;0;8;0;2;1;0;0;1;1;1;6;0;2;2;1;0;0;1;2;0;1;3;0;0;2;1;1;3;5;0;1;2;4;5;8;5;0;2;1;1;4;0;3;3;1;1;1;7;5;2;1;2;0;1;0;2;1;0
